都道府県,年度,排出量合計,CO2排出原単位要因,エネルギー消費効率要因,一人当たり総生産要因,人口要因,CO2排出原単位要因_変化率,エネルギー消費効率要因_変化率,一人当たり総生産要因_変化率,人口要因_変化率,排出量増減,CO2排出原単位要因_増減,エネルギー消費効率要因_増減,一人当たり総生産要因_増減,人口要因_増減,排出量増減率
長野県,2020,12857.7,2.6272963248812557e-07,5992.550042914552,3.987587957291245,2048011,-0.08091594361474257,-0.18395056624190012,0.07326268504889628,-0.04406161475236521,-3851.5,-1322.416037811469,-3006.319497687584,1197.3381926196698,-720.1026571206173,-0.23050175950973115
岐阜県,2011,17343.6,2.586223976394759e-07,9138.39942976775,3.542886565188361,2071313,0.0,0.0,0.0,0.0,0.0,,,,,0.0
岐阜県,2012,16931.7,2.587874848190641e-07,8922.214276126726,3.5559492035659144,2062192,0.000638332878725857,-0.02365678533779273,0.003687004406492671,-0.0044034870635196125,-411.8999999999978,11.077734632983937,-410.543775787681,63.984885891032505,-76.41884473633333,-0.023749394589358486
岐阜県,2013,17142.7,2.546279183393254e-07,9152.332301736029,3.5835494701643484,2052712,-0.015445217957181385,0.001524651234098439,0.01147733754039211,-0.008980294141928332,-200.89999999999782,-271.6276055488468,26.81330656280552,201.84640468107239,-157.9321056950289,-0.011583523605249073
岐阜県,2014,15971.5,2.5423661705952174e-07,8607.021122430184,3.573001008429689,2042780,-0.016958239580115723,-0.058147853070050166,0.008499973873627753,-0.013775320292008016,-1372.0999999999985,-289.47479415035565,-992.5757752281405,145.09337338510488,-235.14280400660704,-0.07911275629050478
岐阜県,2015,16669.3,2.549783047626215e-07,8692.357166061098,3.7014645876304133,2031903,-0.01409039940127046,-0.04880967035142908,0.044759553975056814,-0.01902657879325819,-674.2999999999993,-255.63354967529156,-885.5241739486555,812.0453749164066,-345.1876512924587,-0.03887889480845957
岐阜県,2016,15185.5,2.505918731180807e-07,7969.809398352256,3.757358551357164,2023632,-0.031051156414495434,-0.1278768826419303,0.06053594497666342,-0.02301969813350276,-2158.0999999999985,-551.935684636085,-2273.017269564676,1076.0291111151528,-409.17615691439005,-0.12443206716022041
岐阜県,2017,14864.6,2.4932487227484494e-07,7630.471926413657,3.88405061529246,2011645,-0.0359501939874206,-0.16501002335727585,0.09629550476052579,-0.02880684860279446,-2478.999999999998,-667.7117589864465,-3064.7715832864287,1788.519997656672,-535.0366553837953,-0.1429345695242048
岐阜県,2018,14501.8,2.425101531805479e-07,7502.638012637544,3.9823092550271255,2001442,-0.06230026713072526,-0.17899867801814584,0.1240295679112159,-0.03373270963876536,-2841.7999999999993,-1172.4665717831288,-3368.6848553839322,2334.1877809844505,-634.8363538173886,-0.1638529486381143
岐阜県,2019,14139.3,2.3134106400591451e-07,7767.757343069204,3.9490193795317654,1992463,-0.10548712672439167,-0.1499871063015441,0.11463331011892325,-0.03806764115322021,-3204.2999999999993,-1889.3025157206582,-2686.308993907268,2053.1130946330836,-681.8015850051579,-0.18475403030512694
